=======================================================================================
STRINGS DATA FILE
=======================================================================================

=======================================================================================
*BEGIN*
=======================================================================================

Language Version 1                                     := (English)
DlgEmpireOptions 26                                    := Show Warp Point Names
DlgEmpireOptions 27                                    := Show Planet Names
DlgEmpireOptions 28                                    := Show Colonizable Planets
DlgEmpireOptions 29                                    := Show System Grid
DlgEmpireOptions 30                                    := Show Coordinate Location
DlgEmpireOptions 31                                    := Show Resupply Depots (R), Spaceports (S), and planetary Space Yards(Y)
DlgEmpireOptions 32                                    := Show Planet Atmosphere (Ca), Conditions (Cc) and Value (Cv) changing facilities
DlgEmpireOptions 33                                    := Show Ship Training (St) and Fleet Training (Ft) facilities
DlgEmpireOptions 34                                    := Show Resource Converters (Rc) and Resource Recycler (Rr) facilities
DlgEmpireOptions 35                                    := Show System Ship Training (Sst) and System Fleet Training (Sft) facilities
DlgEmpireOptions 36                                    := Show System Planet Value Change (Spv) and System Planet Conditions Change (Spc) facilities
DlgEmpireOptions 37                                    := Show System Population Happiness (Sph) and System Population Amount (Spa) facilities
DlgEmpireOptions 38                                    := Show System Combat Modifier (Scm) and System Damage Modifier (Sdm) facilities
DlgEmpireOptions 39                                    := Show System Reduced Maintenance Cost (Srm) and System Shield Modifier (Ssm) facilities
DlgEmpireOptions 40                                    := Show System Plague Prevention (Spp) and System Reproduction Change (Src) facilities
DlgEmpireOptions 41                                    := Show System Bad Event Prevention (Sbe) and System Bad Intel Prevention (Sbi) facilities
DlgEmpireOptions 42                                    := Show System Long Range Scanner (Slr) facilities
DlgEmpireOptions 43                                    := Galaxy Display
DlgEmpireOptions 44                                    := Show Grid Lines
DlgEmpireOptions 45                                    := Show Warp Lines
DlgEmpireOptions 46                                    := Latest Items
DlgEmpireOptions 47                                    := Only show latest items for construction
DlgEmpireOptions 48                                    := Only show latest components for designs
DlgEmpireOptions 49                                    := Politics
DlgEmpireOptions 50                                    := Automatically claim any system colonized
DlgEmpireOptions 51                                    := Options In Use
DlgEmpireStatus 1                                      := Empire Status
DlgEmpireStatus 2                                      := Empire Options
DlgEmpireStatus 3                                      := Ministers
DlgEmpireStatus 4                                      := Systems to Avoid
DlgEmpireStatus 5                                      := Waypoints
DlgEmpireStatus 6                                      := Strategies
DlgEmpireStatus 7                                      := Repair Priorities
DlgEmpireStatus 8                                      := Change Email
DlgEmpireStatus 9                                      := Change Password
DlgEmpireStatus 10                                     := Please Enter Password
DlgEmpireStatus 11                                     := Please Re-Enter Password
DlgEmpireStatus 12                                     := Password Changed
DlgEmpireStatus 13                                     := Your empire password has been changed successfully.
DlgEmpireStatus 14                                     := Password Mismatch
DlgEmpireStatus 15                                     := The two passwords you entered did not match. No change has been made.
DlgEmpireStatus 16                                     := Please Enter Email Address
DlgEmpireStatus 17                                     := Resource Production Per Turn
DlgEmpireStatus 18                                     := Resource Expenses Per Turn
DlgEmpireStatus 19                                     := Resources in Treasury
DlgEmpireStatus 20                                     := From Our Colonies
DlgEmpireStatus 21                                     := From Trade
DlgEmpireStatus 22                                     := From Tariffs
DlgEmpireStatus 23                                     := From Remote Mining
DlgEmpireStatus 24                                     := Total
DlgEmpireStatus 25                                     := Tariffs
DlgEmpireStatus 26                                     := Maintenance Cost
DlgEmpireStatus 27                                     := Construction Queue Usage
DlgEmpireStatus 28                                     := Net Resources Per Turn
DlgEmpireStatus 29                                     := Current Total
DlgEmpireStatus 30                                     := Maximum Resource Storage
DlgEmpireStatus 31                                     := money
DlgEmpireStatus 32                                     := maint
DlgEnd 1                                               := All human players have been eliminated from the galaxy.
DlgEnd 2                                               := This game is over. Thank you for playing.
DlgEnd 3                                               := Your empire has been destroyed. This will be your
DlgEnd 4                                               := last turn before your memory begins to fade...
DlgEnd 5                                               := The
DlgEnd 6                                               := has
DlgEnd 7                                               := conquered the galaxy! Let the future revere the
DlgEnd 8                                               := name of
DlgEnd 9                                               := for untold generations. Hurrah! Hurrah!
DlgEnd 10                                              := The Victory Conditions established for this game
DlgEnd 11                                              := have been met. This will be the last turn.
DlgEnd 12                                              := See the Scores screen for details on who won!
DlgEnd 13                                              := OK
DlgErrorsList 1                                        := Close
DlgFleetCreate 1                                       := OK
DlgFleetCreate 2                                       := Cancel
DlgFleetCreate 3                                       := Create Fleet
DlgFleetCreate 4                                       := Fleet
DlgFleetPick 1                                         := Cancel
DlgFleetPick 2                                         := Create New Fleet
DlgFleetTransfer 1                                     := Fleet Transfer
DlgFleetTransfer 2                                     := Create Fleet
DlgFleetTransfer 3                                     := Formation
DlgFleetTransfer 4                                     := Strategy
DlgFleetTransfer 5                                     := Existing Fleets
DlgFleetTransfer 6                                     := Add All
DlgFleetTransfer 7                                     := Remove All
DlgFleetTransfer 8                                     := Vehicles in sector
DlgFleetTransfer 9                                     := Fleets in sector
DlgFleetTransfer 10                                    := (click item to add it to the selected fleet)
DlgFleetTransfer 11                                    := (click item to remove it from the fleet)
DlgFleetTransfer 12                                    := Class
DlgGalaxy 1                                            := Galaxy Map
DlgGalaxy 2                                            := Presence
DlgGalaxy 3                                            := Avoid
DlgGalaxy 4                                            := Ally Claimed
DlgGalaxy 5                                            := Enemy Claimed
DlgGalaxy 6                                            := Spaceports
DlgGalaxy 7                                            := Resupply Depots
DlgGalaxy 8                                            := Goto System
DlgGalaxy 9                                            := Show Names
DlgGalaxy 10                                           := Show Distances
DlgGalaxy 11                                           := Cancel
DlgGalaxy 12                                           := All distances shown in light years from system highlighted with pointer.
DlgGalaxy 13                                           := (click on a system to set its player notes)
DlgGalaxy 14                                           := (click on a system to select it as the destination)
DlgGalaxy 15                                           := Select System
DlgGalaxy 16                                           := System Name
DlgGameMenu 1                                          := New
DlgGameMenu 2                                          := Load
DlgGameMenu 3                                          := Save Game
DlgGameMenu 4                                          := Save Map
DlgGameMenu 5                                          := Save Empire
DlgGameMenu 6                                          := Players
DlgGameMenu 7                                          := Options
DlgGameMenu 8                                          := Delete Game
DlgGameMenu 9                                          := Quit
DlgGameMenu 10                                         := Close
DlgGameSetup 1                                         := Small
DlgGameSetup 2                                         := Medium
DlgGameSetup 3                                         := Large
DlgGameSetup 4                                         := All Warp Points connected
DlgGameSetup 5                                         := No Warp Points
DlgGameSetup 6                                         := Warp Points located anywhere in system
DlgGameSetup 7                                         := All systems seen by all players
DlgGameSetup 8                                         := Omnipresent view of all systems
DlgGameSetup 9                                         := Finite resources
DlgGameSetup 10                                        := All player planets the same size
DlgGameSetup 11                                        := Generate Map Now
DlgGameSetup 12                                        := Load Map
DlgGameSetup 13                                        := Save Map
DlgGameSetup 14                                        := None
DlgGameSetup 15                                        := Low
DlgGameSetup 16                                        := High
DlgGameSetup 17                                        := Low (5000)
DlgGameSetup 18                                        := Medium (20000)
DlgGameSetup 19                                        := High (100000)
DlgGameSetup 20                                        := Bad
DlgGameSetup 21                                        := Average
DlgGameSetup 22                                        := Good
DlgGameSetup 23                                        := Allowed to start in the same system
DlgGameSetup 24                                        := Evenly distributed through the quadrant
DlgGameSetup 25                                        := Player can only view own score
DlgGameSetup 26                                        := Player can view scores of all allied players
DlgGameSetup 27                                        := Player can view scores of all players
DlgGameSetup 28                                        := None (0)
DlgGameSetup 29                                        := Low (2000)
DlgGameSetup 30                                        := Medium (3000)
DlgGameSetup 31                                        := High (5000)
DlgGameSetup 32                                        := Flag
DlgGameSetup 33                                        := Empire Name
DlgGameSetup 34                                        := Race Age
DlgGameSetup 35                                        := Add New
DlgGameSetup 36                                        := Add Existing
DlgGameSetup 37                                        := Edit
DlgGameSetup 38                                        := Remove
DlgGameSetup 39                                        := Save To File
DlgGameSetup 40                                        := Generate random computer controlled Empires
DlgGameSetup 41                                        := Generate random computer controlled Neutral Empires
DlgGameSetup 42                                        := First player to reach a score of
DlgGameSetup 43                                        := The following number of years have ellapsed since game start
DlgGameSetup 44                                        := Player has a score of this percent of the second place player
DlgGameSetup 45                                        := Player has this percentage of the total tech areas researched
DlgGameSetup 46                                        := Quadrant is completely at peace for this many years
DlgGameSetup 47                                        := Victory Conditions take effect this many years after game start
DlgGameSetup 48                                        := Cheat Codes Allowed
DlgGameSetup 49                                        := Team Mode: All computer players versus all human players
DlgGameSetup 50                                        := No Tactical Combat
DlgGameSetup 51                                        := Externally resolved space combat
DlgGameSetup 52                                        := Externally resolved ground combat
DlgGameSetup 53                                        := Players can see complete tech tree
DlgGameSetup 54                                        := Allow Gifts\Tributes
DlgGameSetup 55                                        := Allow Technology Gifts\Tributes\Trades
DlgGameSetup 56                                        := Allow Surrender
DlgGameSetup 57                                        := Allow Intelligence Projects
DlgGameSetup 58                                        := No Ruins on planets
DlgGameSetup 59                                        := Players can only colonize planets with a breathable atmosphere
DlgGameSetup 60                                        := Players can only colonize home planet type
DlgGameSetup 61                                        := Players can save the map during the game
DlgGameSetup 62                                        := Hotseat
DlgGameSetup 63                                        := All players play on the same computer.
DlgGameSetup 64                                        := Different Machines
DlgGameSetup 65                                        := Each player takes their turn on a separate computer.
DlgGameSetup 66                                        := Turn Based Movement
DlgGameSetup 67                                        := Players take their turns in order. Orders and movement are executed immediately.
DlgGameSetup 68                                        := Simultaneous Movement
DlgGameSetup 69                                        := Players take their turn at the same time as other players.
DlgGameSetup 70                                        := Orders are executed separately by the Host (not on the player's turn)
DlgGameSetup 71                                        := after all players have finished. Movement is simultaneous.
DlgGameSetup 72                                        := Every Turn
DlgGameSetup 73                                        := Every 2 Turns
DlgGameSetup 74                                        := Every 3 Turns
DlgGameSetup 75                                        := Every 5 Turns
DlgGameSetup 76                                        := Every 10 Turns
DlgGameSetup 77                                        := Manual File Moving
DlgGameSetup 78                                        := TCP/IP Host
DlgGameSetup 79                                        := TCP/IP Player
DlgGameSetup 80                                        := Players
DlgGameSetup 81                                        := There must be at least one human player.
DlgGameSetup 82                                        := You must add or create your empire for this game.
DlgGameSetup 83                                        := You can only add one empire to this game.
DlgGameSetup 84                                        := You can only add one empire at a time in this window.
DlgGameSetup 85                                        := Multiplayer Game Filename
DlgGameSetup 86                                        := There must be Multiplayer Game Filename in a game played on different machines.
DlgGameSetup 87                                        := Save Game Directory
DlgGameSetup 88                                        := You have entered an invalid path for the Save Game Directory Path.
DlgGameSetup 89                                        := There must be Multiplayer Game Filename in a Simultaneous Movement game.
DlgGameSetup 90                                        := Racial Points
DlgGameSetup 91                                        := Some of the empires selected have expended too many racial points.
DlgGameSetup 92                                        := Master Password Required
DlgGameSetup 93                                        := All multiplayer simultaneous games on different machines require that you specify a game master password.
DlgGameSetup 94                                        := Game Setup
DlgGameSetup 95                                        := Quadrant Type
DlgGameSetup 96                                        := Quadrant Size
DlgGameSetup 97                                        := General Options
DlgGameSetup 98                                        := Quadrant Map
DlgGameSetup 99                                        := Event Frequency
DlgGameSetup 100                                       := Maximum Event Severity
DlgGameSetup 101                                       := Technology Cost
DlgGameSetup 102                                       := Technology Areas Allowed
DlgGameSetup 103                                       := Starting Resources for Player
DlgGameSetup 104                                       := Home Planet Value
DlgGameSetup 105                                       := Number of Starting Planets
DlgGameSetup 106                                       := Empire Placement
DlgGameSetup 107                                       := Score Display
DlgGameSetup 108                                       := Technology Level for New Player
DlgGameSetup 109                                       := Racial Points for New Players
DlgGameSetup 110                                       := Players in Game
DlgGameSetup 111                                       := Number of Players:
DlgGameSetup 112                                       := Random Computer Players
DlgGameSetup 113                                       := Number of Computer Players
DlgGameSetup 114                                       := Computer Player Difficulty
DlgGameSetup 115                                       := Computer Player Bonus
DlgGameSetup 116                                       := The game will end if any of the following conditions are met. If none are selected,
DlgGameSetup 117                                       := then the game will continue until only one empire survives.
DlgGameSetup 118                                       := Game Master Password
DlgGameSetup 119                                       := Maximum number of units allowed (in space) per player
DlgGameSetup 120                                       := Maximum number of ships allowed per player
DlgGameSetup 121                                       := Play Style
DlgGameSetup 122                                       := Autosave Frequency
DlgGameSetup 123                                       := Turn Style
DlgGameSetup 124                                       := Save Game Directory Path
DlgGameSetup 125                                       := Connection Type
DlgGameSetup 126                                       := Quadrant
DlgGameSetup 127                                       := Events
DlgGameSetup 128                                       := Technology
DlgGameSetup 129                                       := Player Settings
DlgGameSetup 130                                       := Victory Conditions
DlgGameSetup 131                                       := Game Settings
DlgGameSetup 132                                       := Mechanics
DlgGameSetup 133                                       := Begin Game
DlgGameSetup 134                                       := Enter Empire Password
DlgGameSetup 135                                       := Invalid Password
DlgGameSetup 136                                       := You have entered an incorrect password for this empire.
DlgGameSetup 137                                       := Save Designs
DlgGameSetup 138                                       := Do you wish to save your designs with your empire?
DlgGameSetup 139                                       := This empire has a different technology setup than allowed by this game configuration.
DlgGameSetup 140                                       := This empire has spent more racial points than are allowed by this game configuration.
DlgGameSetup 141                                       := Invalid Empire
DlgHelp 1                                              := Help
DlgHelp 2                                              := Components
DlgHelp 3                                              := Weap Mount
DlgHelp 4                                              := Facilities
DlgHelp 5                                              := Ship Sizes
DlgHelp 6                                              := Unit Sizes
DlgHelp 7                                              := Tech Areas
DlgHelp 8                                              := Treaties
DlgHelp 9                                              := Intel Projects
DlgHelp 10                                             := Formations
DlgHelp 11                                             := Hotkeys
DlgHelp 12                                             := Weapons Report
DlgHelp 13                                             := Manual
DlgHelp 14                                             := open
DlgHelp 15                                             := Items
DlgHelp 16                                             := Item Details
DlgHistory 1                                           := History
DlgHistory 2                                           := Empires / Events
DlgHistory 3                                           := Historical Events
DlgHistory 4                                           := Game Date:
DlgHistory 5                                           := Other Events
DlgIntelligence 1                                      := Intelligence
DlgIntelligence 2                                      := Projects 1 - 4
DlgIntelligence 3                                      := Projects 5 - 8
DlgIntelligence 4                                      := Projects 9 - 12
DlgIntelligence 5                                      := Repeat Projects
DlgIntelligence 6                                      := Divide Pts Evenly
DlgIntelligence 7                                      := Reorder Projects
DlgIntelligence 8                                      := Intelligence Projects
DlgIntelligence 9                                      := Total IP Cost
DlgIntelligence 10                                     := Cost
DlgIntelligence 11                                     := Intelligence Points Available:
DlgIntelligence 12                                     := (click intelligence project to add it as a current project)
DlgIntelligence 13                                     := (click to cancel project)
DlgIntelligence 14                                     := Current Project
DlgIntelligence 15                                     := s
DlgIntelligence 16                                     := Against
DlgIntelligence 17                                     := Completion:
DlgIntelligence 18                                     := Cost Per Turn:
DlgIntelligence 19                                     := None
DlgIntelligence 20                                     := Remove Intelligence Project
DlgIntelligence 21                                     := Are you sure you want to delete this intelligence project?
DlgIntelligence 22                                     := Intelligence Project Order
DlgJettisonCargo 1                                     := Jettison Cargo
DlgJettisonCargo 2                                     := Move One
DlgJettisonCargo 3                                     := Move Five
DlgJettisonCargo 4                                     := Move Ten
DlgJettisonCargo 5                                     := Move All
DlgJettisonCargo 6                                     := OK
DlgJettisonCargo 7                                     := Cancel
DlgJettisonCargo 8                                     := Cargo Present
DlgJettisonCargo 9                                     := Cargo To Be Jettisoned
DlgJettisonCargo 10                                    := (click item to add to jettison list)
DlgJettisonCargo 11                                    := (click item to remove it from jettison list)
DlgJettisonCargo 12                                    := x
DlgLoadGame 1                                          := 
DlgLoadGame 2                                          := 
DlgLoadGame 3                                          := 
DlgLoadGame 4                                          := Load Game
DlgLoadGame 5                                          := Change Directory
DlgLoadGame 6                                          := Cancel
DlgLoadGame 7                                          := Save Game
DlgLoadGame 8                                          := New Save Game
DlgLoadGame 9                                          := Save Map
DlgLoadGame 10                                         := New Map File
DlgLoadGame 11                                         := Map Filename
DlgLoadGame 12                                         := Load Map
DlgLoadGame 13                                         := Delete Game
DlgLoadGame 14                                         := Save Empire
DlgLoadGame 15                                         := New Empire File
DlgLoadGame 16                                         := Empire Filename
DlgLoadGame 17                                         := Load Empire
DlgLoadGame 18                                         := Load Scenario
DlgLoadGame 19                                         := Scenario Filename
DlgLoadGame 20                                         := 
DlgLoadGame 21                                         := 
DlgLoadGame 22                                         := Save Game Name
DlgLoadGame 23                                         := Date
DlgLoadGame 24                                         := %.4d
DlgLoadGame 25                                         := New Save Game Name
DlgLoadGame 26                                         := Map Name
DlgLoadGame 27                                         := Empire Name
DlgLoadGame 28                                         := Error
DlgLoadGame 29                                         := Invalid File Name.
DlgLog 1                                               := Log
DlgLog 2                                               := All
DlgLog 3                                               := Construction
DlgLog 4                                               := Research
DlgLog 5                                               := Intelligence
DlgLog 6                                               := Events
DlgLog 7                                               := Politics
DlgLog 8                                               := Combat
DlgLog 9                                               := Misc
DlgLog 10                                              := Send Reply
DlgLog 11                                              := Combat Replay
DlgLog 12                                              := Constr. Queues
DlgLog 13                                              := Goto
DlgLog 14                                              := Log Messages
DlgLog 15                                              := Log Details
DlgLog 16                                              := Game Date:
DlgLog 17                                              := Unable to load "
DlgLog 18                                              := Date:
DlgLog 19                                              := Cannot Reply
DlgLog 20                                              := A message has already been sent.
DlgLog 21                                              := Taken
DlgLog 22                                              := Dead
DlgLog 23                                              := Combat in
DlgLog 24                                              := Coord:
DlgLog 25                                              := Combat Forces
DlgLog 26                                              := Start
DlgLog 27                                              := Lost
DlgLog 28                                              := Damage
DlgMachineOptions 1                                    := Options
DlgMachineOptions 2                                    := Reset Passwords
DlgMachineOptions 3                                    := Animation
DlgMachineOptions 4                                    := Animate ship movement in system window
DlgMachineOptions 5                                    := Animate ship movement in combat
DlgMachineOptions 6                                    := Sound
DlgMachineOptions 7                                    := Sound On
DlgMachineOptions 8                                    := CD Music On
DlgMachineOptions 9                                    := Classic Sound Effects
DlgMachineOptions 10                                   := Tactical Combat
DlgMachineOptions 11                                   := Fast Tactical Combat
DlgMachineOptions 12                                   := System Display
DlgMachineOptions 13                                   := Display Ship Movement Lines
DlgMachineOptions 14                                   := Autosave For This Game
DlgMachineOptions 15                                   := None
DlgMachineOptions 16                                   := Every Turn
DlgMachineOptions 17                                   := Every 2 Turns
DlgMachineOptions 18                                   := Every 3 Turns
DlgMachineOptions 19                                   := Every 5 Turns
DlgMachineOptions 20                                   := Every 10 Turns
DlgMachineOptions 21                                   := Password Reset
DlgMachineOptions 22                                   := Player
DlgMachineOptions 23                                   := has had their password reset
DlgMachineOptions 24                                   := to "
DlgMachineOptions 25                                   := Options In Use
DlgMsg 1                                               := Yes
DlgMsg 2                                               := No
DlgMsg 3                                               := Tactical
DlgMsg 4                                               := Strategic
DlgMsg 5                                               := OK
DlgMsg 6                                               := Y
DlgMsg 7                                               := N
DlgMsg 8                                               := S
DlgMsg 9                                               := T
DlgNextPlayer 1                                        := OK
DlgNextPlayer 2                                        := your empire awaits...
DlgNextPlayer 3                                        := Password:
DlgNextPlayer 4                                        := Invalid Password:
DlgNextPlayer 5                                        := Load Error
DlgNextPlayer 6                                        := Unable to load portrait picture
DlgNextPlayer 7                                        := master
DlgNotes 1                                             := OK
DlgNotes 2                                             := Cancel
DlgNotes 3                                             := Notes for
DlgNotes 4                                             := Unexplored System
DlgOrdersList 1                                        := Orders
DlgOrdersList 2                                        := Close
DlgOrdersList 3                                        := Orders List
DlgOrdersList 4                                        := (Repeat Orders)
DlgPathSelect 1                                        := OK
DlgPathSelect 2                                        := Cancel
DlgPathSelect 3                                        := c:
DlgPathSelect 4                                        := Select Directory
DlgPathSelect 5                                        := Drive
DlgPathSelect 6                                        := Directory
DlgPathSelect 7                                        := Current Directory
DlgPathSelect 8                                        := Select Drive
DlgPathSelect 9                                        := Drives
Dlgpick 1                                              := Cancel
DlgPickEmpire 1                                        := 
DlgPickEmpire 2                                        := 
DlgPickEmpire 3                                        := Select Empire
DlgPickEmpire 4                                        := Select an empire by clicking on its portrait.
DlgPickEmpire 5                                        := Select an empire to play by left-clicking on its portrait.
DlgPickEmpire 6                                        := Begin Game
DlgPlanets 1                                           := Planets
DlgPlanets 2                                           := All
DlgPlanets 3                                           := Colonizable
DlgPlanets 4                                           := All Colonies
DlgPlanets 5                                           := Enemy Colonies
DlgPlanets 6                                           := Ally Colonies
DlgPlanets 7                                           := Coloniz\Empty
DlgPlanets 8                                           := Coloniz\Breathe
DlgPlanets 9                                           := Ship Enroute
DlgPlanets 10                                          := Asteroids
DlgPlanets 11                                          := Special
DlgPlanets 12                                          := No Sys To Avoid
DlgPlanets 13                                          := Send Colony Ship
DlgPlanets 14                                          := Known Systems
DlgPlanets 15                                          := Number of Planets
DlgPlanets 16                                          := Number of Colonizable Planets
DlgPlanets 17                                          := ... which are owned by Enemies
DlgPlanets 18                                          := ... which are owned by Allies
DlgPlanets 19                                          := ... which are owned by Non-Aligned
DlgPlanets 20                                          := ... which are not Colonized
DlgPlanets 21                                          := ... which are Breathable
DlgPlanets 22                                          := Colonizing Ships
DlgPlanets 23                                          := ... which are available
DlgPlanets 24                                          := Select Planet to Colonize
DlgPlanets 25                                          := Pic
DlgPlanets 26                                          := Name
DlgPlanets 27                                          := Atmosphere
DlgPlanets 28                                          := Value
DlgPlayers 1                                           := Empires Under Computer Control
DlgPlayers 2                                           := Select Empires to have password reset
DlgPlayers 3                                           := Pic
DlgPlayers 4                                           := Name
DlgPlayers 5                                           := Race
DlgPlayerSetup 1                                       := Compare Culture Modifiers
DlgPlayerSetup 2                                       := Neutral
DlgPlayerSetup 3                                       := Name
DlgPlayerSetup 4                                       := Cost
DlgPlayerSetup 5                                       := Racial Points
DlgPlayerSetup 6                                       := You have expended too many racial points.
DlgPlayerSetup 7                                       := Empire Name
DlgPlayerSetup 8                                       := You must provide an empire name.
DlgPlayerSetup 9                                       := Emperor Name
DlgPlayerSetup 10                                      := You must provide an emperor name.
DlgPlayerSetup 11                                      := Planet Type
DlgPlayerSetup 12                                      := You have selected a home atmosphere and planet type which are incompatible.
DlgPlayerSetup 13                                      := Culture
DlgPlayerSetup 14                                      := You must select a culture for your empire.
DlgPlayerSetup 15                                      := Empire Setup
DlgPlayerSetup 16                                      := Empire Type
DlgPlayerSetup 17                                      := Emperor Title
DlgPlayerSetup 18                                      := Password
DlgPlayerSetup 19                                      := Email
DlgPlayerSetup 20                                      := Race Portrait \ Ship Style
DlgPlayerSetup 21                                      := Design Name File
DlgPlayerSetup 22                                      := Minister Style
DlgPlayerSetup 23                                      := Computer Controlled
DlgPlayerSetup 24                                      := Use Race Minister Style
DlgPlayerSetup 25                                      := Experience Points
DlgPlayerSetup 26                                      := Race Age
DlgPlayerSetup 27                                      := Atmosphere Breathed
DlgPlayerSetup 28                                      := Home Planet Type
DlgPlayerSetup 29                                      := Physical Characteristics
DlgPlayerSetup 30                                      := Vocational Aptitudes
DlgPlayerSetup 31                                      := Racial Traits
DlgPlayerSetup 32                                      := Biological Description
DlgPlayerSetup 33                                      := Society Description
DlgPlayerSetup 34                                      := General History
DlgPlayerSetup 35                                      := Demeanor
DlgPlayerSetup 36                                      := Happiness Type
DlgPlayerSetup 37                                      := General Details
DlgPlayerSetup 38                                      := Environment
DlgPlayerSetup 39                                      := Characteristics
DlgPlayerSetup 40                                      := Advanced Traits
DlgPlayerSetup 41                                      := Description
DlgPlayerSetup 42                                      := Technology
DlgPlayerSetup 43                                      := Create Empire
DlgPlayerSetup 44                                      := 
DlgPlayerSetup 45                                      := 
DlgPlayerSetup 46                                      := 
DlgPlayerSetup 47                                      := 
DlgPlayerSetup 48                                      := 
DlgPlayerSetup 49                                      := 
DlgPlayerSetup 50                                      := 
DlgPlayerSetup 51                                      := 
DlgPlayerSetup 52                                      := 
DlgPlayerSetup 53                                      := 
DlgPlayerSetup 54                                      := 
DlgPlayerSetup 55                                      := 
DlgPlayerSetup 56                                      := 
DlgPlayerSetup 57                                      := Controlled by Computer
DlgPlayerSetup 58                                      := Controlled by Player
DlgPlayerSetup 59                                      := Using Style from Race
DlgPlayerSetup 60                                      := Using Selected Style
DlgPlayerSetup 61                                      := Racial Points Available:
DlgPlayerSignIn 1                                      := Flag
DlgPlayerSignIn 2                                      := Empire Name
DlgPlayerSignIn 3                                      := Emperor Name
DlgPlayerSignIn 4                                      := Login
DlgPlayerSignIn 5                                      := Cancel
DlgPlayerSignIn 6                                      := Login To Game
DlgPlayerSignIn 7                                      := Password
DlgPlayerSignIn 8                                      := Invalid Data Files
DlgPlayerSignIn 9                                      := The data files currently being used do not match the
DlgPlayerSignIn 10                                     := data files that were used when this game was started.
DlgPlayerSignIn 11                                     := Please check with your host to get the correct data files.
DlgPlayerSignIn 12                                     := Invalid password.
DlgPlayerSignIn 13                                     := Game Master
DlgPlayerSignIn 14                                     := Dead
DlgPlayerSignIn 15                                     := (Host)
DlgPolitics 1                                          := Empires
DlgPolitics 2                                          := Treaty
DlgPolitics 3                                          := Trade
DlgPolitics 4                                          := Tariff
DlgPolitics 5                                          := History
DlgPolitics 6                                          := Treaty Grid
DlgPolitics 7                                          := Intelligence
DlgPolitics 8                                          := Borders
DlgPolitics 9                                          := Victory Conditions
DlgPolitics 10                                         := Scores
DlgPolitics 11                                         := Comparisons
DlgPolitics 12                                         := Our Race
DlgPolitics 13                                         := Known Empire
DlgPolitics 14                                         := Known Empires
DlgPolitics 15                                         := (click on a portrait to communicate with empire)
DlgPopulation 1                                        := Race
DlgPopulation 2                                        := Name
DlgPopulation 3                                        := Population
DlgPopulation 4                                        := Close
DlgPopulation 5                                        := Races On Planet
DlgQueueTypeCreate 1                                   := Add Type
DlgQueueTypeCreate 2                                   := Delete Type
DlgQueueTypeCreate 3                                   := Select Queue Type
DlgQueueTypeCreate 4                                   := Name
DlgQueueTypeCreate 5                                   := Queue Type Name
DlgRepairPriorities 1                                  := Repair Priorities
DlgRepairPriorities 2                                  := Remove All
DlgRepairPriorities 3                                  := Component Groups
DlgRepairPriorities 4                                  := Group Repair Priority
DlgRepairPriorities 5                                  := (click item to add to priority list)
DlgRepairPriorities 6                                  := (click item to remove it from priority list)
DlgRepairPriorities 7                                  := Priority of repair for each component type
DlgRepairPriorities 8                                  := Invalid Priorities
DlgRepairPriorities 9                                  := Please make sure that there are no duplicate priorities.
DlgReportDesign 1                                      := Size
