=======================================================================================
AI DATA FILE - Default
=======================================================================================

Replacement Symbols used: 
[%OurEmperorTitle]     - Our Emperor's Title
Number of Response Friend YES Declare war on empire               := 5
Response Friend YES Declare war on empire 1                       := We shall declare war on the [%OtherEmpireName].
Response Friend YES Declare war on empire 2                       := The [%OtherEmpireName] shall be destroyed by our combined might!
Response Friend YES Declare war on empire 3                       := As you command, we shall wage war against the [%OtherEmpireName].
Response Friend YES Declare war on empire 4                       := War has come at last! The [%OtherEmpireName] shall burn this night!
Response Friend YES Declare war on empire 5                       := We have been waiting for you say that. We shall declare war against the [%OtherEmpireName] immediately.
Number of Response Friend NO Declare war on empire                := 5
Response Friend NO Declare war on empire 1                        := We would never declare war on our strongest ally!
Response Friend NO Declare war on empire 2                        := Anger has overcome you, [%TargetEmperorTitle] [%TargetEmperorName]. We will not declare war on our neighbors.
Response Friend NO Declare war on empire 3                        := The [%OtherEmpireName] have never been a threat to us. We will not bring war upon them. 
Response Friend NO Declare war on empire 4                        := You ask too much of us, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend NO Declare war on empire 5                        := We will not join you in the folly of war, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Friend YES Make peace with empire              := 5
Response Friend YES Make peace with empire 1                      := We will make peace with the [%OtherEmpireName].
Response Friend YES Make peace with empire 2                      := Your compassion touches us [%TargetEmperorTitle] [%TargetEmperorName]. We shall sue for peace.
Response Friend YES Make peace with empire 3                      := Perhaps it is time to make peace with the [%OtherEmpireName]. We will try.
Response Friend YES Make peace with empire 4                      := We grow weary of conflict with the [%OtherEmpireName]. We will extend the olive branch.
Response Friend YES Make peace with empire 5                      := If you ask this of us, [%TargetEmperorTitle] [%TargetEmperorName], then we shall do it.
Number of Response Friend NO Make peace with empire               := 5
Response Friend NO Make peace with empire 1                       := The [%OtherEmpireName] don't understand peace, they only understand war.
Response Friend NO Make peace with empire 2                       := How can you ask such a thing after the atrocities they have committed? There will never be peace. 
Response Friend NO Make peace with empire 3                       := You are naive in the ways of the universe, [%TargetEmperorTitle] [%TargetEmperorName]. This is not the time for peace.
Response Friend NO Make peace with empire 4                       := Do not stand in our way, [%TargetEmperorTitle] [%TargetEmperorName]. There will be peace when the [%OtherEmpireName] have been exterminated.
Response Friend NO Make peace with empire 5                       := Our honor will not permit peace, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Friend YES Support us against another empire   := 5
Response Friend YES Support us against another empire 1           := We will support your efforts against the [%OtherEmpireName].
Response Friend YES Support us against another empire 2           := We will always aide our allies, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend YES Support us against another empire 3           := We are sending warships to assist.
Response Friend YES Support us against another empire 4           := As we speak, our forces are massing for an assault against the [%OtherEmpireName].
Response Friend YES Support us against another empire 5           := We shall do whatever it takes, [%TargetEmperorTitle] [%TargetEmperorName], to help you against the savage [%OtherEmpireName].
Number of Response Friend NO Support us against another empire    := 5
Response Friend NO Support us against another empire 1            := We cannot get involved in your conflict with the [%OtherEmpireName].
Response Friend NO Support us against another empire 2            := We cannot support your unlawful assaults against the [%OtherEmpireName].
Response Friend NO Support us against another empire 3            := The [%OtherEmpireName] are a peaceful people. We cannot help you against them. 
Response Friend NO Support us against another empire 4            := We are neutral in this conflict.
Response Friend NO Support us against another empire 5            := We cannot help you, [%TargetEmperorTitle] [%TargetEmperorName]. You conflict with the [%OtherEmpireName] is wrong.
Number of Response Friend YES Attack empire in system             := 5
Response Friend YES Attack empire in system 1                     := We will attack the [%OtherEmpireName] in the [%SystemName] system shortly.
Response Friend YES Attack empire in system 2                     := Our forces are on route to the [%SystemName] system to engage the [%OtherEmpireName].
Response Friend YES Attack empire in system 3                     := We shall wipe the [%OtherEmpireName] from the face of [%SystemName]!
Response Friend YES Attack empire in system 4                     := We shall fight along side you, [%TargetEmperorTitle] [%TargetEmperorName].  
Response Friend YES Attack empire in system 5                     := We are sending 3 attack wings to the [%SystemName] system. Orders: Destroy the [%OtherEmpireName].
Number of Response Friend NO Attack empire in system              := 5
Response Friend NO Attack empire in system 1                      := The [%SystemName] system is off limits to us.
Response Friend NO Attack empire in system 2                      := We have no forces near the [%SystemName] to engage with.
Response Friend NO Attack empire in system 3                      := After suffering some recent defeats, we cannot combat the [%OtherEmpireName] at this time.
Response Friend NO Attack empire in system 4                      := Our forces are weary from battle, [%TargetEmperorTitle] [%TargetEmperorName]. We will not be able to help you in the [%SystemName] system.
Response Friend NO Attack empire in system 5                      := Attacking the [%OtherEmpireName] in the [%SystemName] system is strategically unsound. We will not throw our soldiers lives away.
Number of Response Friend YES Attack planet                       := 5
Response Friend YES Attack planet 1                               := We are sending a fleet to attack [%PlanetName].
Response Friend YES Attack planet 2                               := Our fleets are converging on [%PlanetName] even now.
Response Friend YES Attack planet 3                               := Your plan is a good one, [%TargetEmperorTitle] [%TargetEmperorName]. We shall destroy [%PlanetName] utterly.
Response Friend YES Attack planet 4                               := Attacking [%PlanetName] is risky, but we will support you. The order has been given.
Response Friend YES Attack planet 5                               := We shall make short work of [%PlanetName]!
Number of Response Friend NO Attack planet                        := 5
Response Friend NO Attack planet 1                                := [%PlanetName] is too far outside our territory.
Response Friend NO Attack planet 2                                := Attacking [%PlanetName] at this time would be very costly for us. We must decline.
Response Friend NO Attack planet 3                                := We will not engage [%PlanetName] alone! You ask too much of us.
Response Friend NO Attack planet 4                                := [%PlanetName] is protected by a fleet which lays in wait. To attack is foolish.
Response Friend NO Attack planet 5                                := Planet [%PlanetName] is too well defended for a direct attack. We must plan a different strategy.
Number of Response Friend YES Stop espionage activities           := 5
Response Friend YES Stop espionage activities 1                   := We will stop these unwarranted attacks against you.
Response Friend YES Stop espionage activities 2                   := We apologize for the transgression. Our government in no way supported these treacherous acts. 
Response Friend YES Stop espionage activities 3                   := Rogue agents performed these acts of treason. They have been publicly executed. You will be troubled no more. 
Response Friend YES Stop espionage activities 4                   := We may have become overzealous in our thirst for knowledge. We in no way meant any offense.
Response Friend YES Stop espionage activities 5                   := We will stop immediately, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Friend NO Stop espionage activities            := 5
Response Friend NO Stop espionage activities 1                    := We cannot at this time. We must know all.
Response Friend NO Stop espionage activities 2                    := You would accuse us, your long time ally? You should look elsewhere, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend NO Stop espionage activities 3                    := You must share your knowledge with your allies!
Response Friend NO Stop espionage activities 4                    := You make many promises, [%TargetEmperorTitle] [%TargetEmperorName], and yet you fail to deliver. We only want what is rightfully ours.
Response Friend NO Stop espionage activities 5                    := It is our enemies who seek to implicate us! We know nothing of these deeds!
Number of Response Friend YES Stop sabotage activities            := 5
Response Friend YES Stop sabotage activities 1                    := We apologize for this unfortunate accident.
Response Friend YES Stop sabotage activities 2                    := A mistake on our part. We hope this will not damage our long standing friendship.
Response Friend YES Stop sabotage activities 3                    := Our most sincere apologies, [%TargetEmperorTitle] [%TargetEmperorName]. It shall never happen again.
Response Friend YES Stop sabotage activities 4                    := An accident we truly regret. 
Response Friend YES Stop sabotage activities 5                    := One of our operatives went mad on assignment. He has been summarily executed for his crimes. 
Number of Response Friend NO Stop sabotage activities             := 5
Response Friend NO Stop sabotage activities 1                     := We do what we must.
Response Friend NO Stop sabotage activities 2                     := We know that you are plotting against us, [%TargetEmperorTitle] [%TargetEmperorName]! We will not allow it.
Response Friend NO Stop sabotage activities 3                     := Our enemies seek to turn us against each other, [%TargetEmperorTitle] [%TargetEmperorName]. It was not us that did this deed!
Response Friend NO Stop sabotage activities 4                     := An accident. We will try and do better. 
Response Friend NO Stop sabotage activities 5                     := Such petty accusations are beneath you, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Friend YES Stop attacks in system              := 5
Response Friend YES Stop attacks in system 1                      := We will cease our military actions in the [%SystemName] system.
Response Friend YES Stop attacks in system 2                      := A border skirmish, nothing more. Don't trouble yourself about it, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend YES Stop attacks in system 3                      := A few of our captains in the system mutinied and made the recent attacks without authorization. They have been dismissed. 
Response Friend YES Stop attacks in system 4                      := Our forces will stand-down in the [%SystemName] system. 
Response Friend YES Stop attacks in system 5                      := The [%SystemName] is now a no fire zone for us. 
Number of Response Friend NO Stop attacks in system               := 5
Response Friend NO Stop attacks in system 1                       := The [%SystemName] system must be subdued.
Response Friend NO Stop attacks in system 2                       := We must continue to quell the rebel insurgents in the [%SystemName] system. 
Response Friend NO Stop attacks in system 3                       := The [%SystemName] system cannot be allowed to run amok. We will bring it order. 
Response Friend NO Stop attacks in system 4                       := Do not try and stay our hand, [%TargetEmperorTitle] [%TargetEmperorName]. The [%SystemName] system is neutral territory.
Response Friend NO Stop attacks in system 5                       := We cannot rest until there is peace in the [%SystemName] system.
Number of Response Friend Demand / Request / Warn                 := 0
Number of Response Friend Surrender                               := 5
Response Friend Surrender 1                                       := We accept your surrender.
Response Friend Surrender 2                                       := At long last, we will join to form a greater whole!
Response Friend Surrender 3                                       := You save your people from extermination, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend Surrender 4                                       := This is the only course you could have taken.
Response Friend Surrender 5                                       := The [%TargetEmpireName] is not gone, but has become a part of us.
Number of Response Friend Grant independence to colony            := 5
Response Friend Grant independence to colony 1                    := We welcome our returning colony of [%PlanetName].
Response Friend Grant independence to colony 2                    := We welcome back our long lost brothers. 
Response Friend Grant independence to colony 3                    := We shall not forget this act of kindness, [%TargetEmperorTitle] [%TargetEmperorName].
Response Friend Grant independence to colony 4                    := With this small act, you help to cement our alliance.
Response Friend Grant independence to colony 5                    := The [%OurEmpireName] thanks you.
Number of Response Enemy Accept Treaty                            := 5
Response Enemy Accept Treaty 1                                    := You are wise to do so.
Response Enemy Accept Treaty 2                                    := Your wise decision, [%TargetEmperorTitle] [%TargetEmperorName], has prevented much suffering of your people.
Response Enemy Accept Treaty 3                                    := We welcome our new ally. Do not make us regret our decision.
Response Enemy Accept Treaty 4                                    := The [%TargetEmperorName] are now our allies.
Response Enemy Accept Treaty 5                                    := We shall call off our imminent attack. 
Number of Response Enemy Refuse Treaty                            := 5
Response Enemy Refuse Treaty 1                                    := Refusal is not acceptable. 
Response Enemy Refuse Treaty 2                                    := You only sign your own death warrant, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy Refuse Treaty 3                                    := You disappoint us, [%TargetEmperorTitle] [%TargetEmperorName]. 
Response Enemy Refuse Treaty 4                                    := Our charity was a one time lapse. You missed your chance. 
Response Enemy Refuse Treaty 5                                    := The [%TargetEmpireName] shall remain our enemies.
Number of Response Enemy Break Treaty                             := 5
Response Enemy Break Treaty 1                                     := You shall pay the consequences.
Response Enemy Break Treaty 2                                     := You will stand alone among your enemies.
Response Enemy Break Treaty 3                                     := You can consider us an enemy, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy Break Treaty 4                                     := Why throw away your only chance at peace, [%TargetEmperorTitle] [%TargetEmperorName]?
Response Enemy Break Treaty 5                                     := You are a fool, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Enemy Declare War                              := 5
Response Enemy Declare War 1                                      := We always knew war would come with your species.
Response Enemy Declare War 2                                      := You will rue this day, [%TargetEmperorTitle] [%TargetEmperorName]. 
Response Enemy Declare War 3                                      := Your cities will burn with the light of our avenging fire!
Response Enemy Declare War 4                                      := The [%TargetEmpireName] shall forever be known as vile traitors!
Response Enemy Declare War 5                                      := Death to the accursed [%TargetEmpireName]!
Number of Response Enemy Accept Trade                             := 5
Response Enemy Accept Trade 1                                     := This trade between our peoples will help to smooth the waters of our relations.
Response Enemy Accept Trade 2                                     := This trade improves your standing with us, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy Accept Trade 3                                     := A few more of these, and relations may be possible.
Response Enemy Accept Trade 4                                     := You may be above contempt.
Response Enemy Accept Trade 5                                     := You took long enough, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Enemy Refuse Trade                             := 5
Response Enemy Refuse Trade 1                                     := Refusing our trade is not a wise decision.
Response Enemy Refuse Trade 2                                     := We see that you are not a wise leader, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy Refuse Trade 3                                     := You throw away even the most obvious benefits.
Response Enemy Refuse Trade 4                                     := Alas, you choose to remain alone. No one will remember when your race passes from the galaxy.
Response Enemy Refuse Trade 5                                     := You are a fool, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Enemy Accept Gift                              := 5
Response Enemy Accept Gift 1                                      := We hope this will suffice.
Response Enemy Accept Gift 2                                      := Ask no more of us, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy Accept Gift 3                                      := Our people starve, but your gift was scraped together from the plates of our children. 
Response Enemy Accept Gift 4                                      := These gifts try our patience.
Response Enemy Accept Gift 5                                      := That will be the last for some time, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Enemy Refuse Gift                              := 5
Response Enemy Refuse Gift 1                                      := That will be the last you get!
Response Enemy Refuse Gift 2                                      := Never again shall we demean ourselves, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy Refuse Gift 3                                      := You throw away even that which is free. 
Response Enemy Refuse Gift 4                                      := Your refusal deeply dishonors us, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy Refuse Gift 5                                      := Our next gift will be that of 50 neutron bombs on your homeworld. 
Number of Response Enemy Accept Tribute                           := 5
Response Enemy Accept Tribute 1                                   := We are glad.
Response Enemy Accept Tribute 2                                   := Choke on it!
Response Enemy Accept Tribute 3                                   := We have done as required, [%TargetEmperorTitle] [%TargetEmperorName]. 
Response Enemy Accept Tribute 4                                   := We provided the tribute only to prevent all out war. 
Response Enemy Accept Tribute 5                                   := Do not ask for more.
Number of Response Enemy Refuse Tribute                           := 5
Response Enemy Refuse Tribute 1                                   := What is the problem with our humble tribute?
Response Enemy Refuse Tribute 2                                   := What more can we do, [%TargetEmperorTitle] [%TargetEmperorName]?
Response Enemy Refuse Tribute 3                                   := Your refusal saddens us. 
Response Enemy Refuse Tribute 4                                   := There shall be no more tributes from us. We are done trying to mollify you. 
Response Enemy Refuse Tribute 5                                   := The [%OurEmpireName] cannot provide any more.
Number of Response Enemy Want a gift                              := 5
Response Enemy Want a gift 1                                      := We cannot give you the gift you demand.
Response Enemy Want a gift 2                                      := You cannot demand anything from us, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy Want a gift 3                                      := Your shakedowns only show how desperate the [%TargetEmpireName] is.
Response Enemy Want a gift 4                                      := Your nagging grows very tiresome, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy Want a gift 5                                      := The only gift we shall give you is that of our conquering presence. 
Number of Response Enemy Want a tribute                           := 5
Response Enemy Want a tribute 1                                   := We have no tribute to offer at this time.
Response Enemy Want a tribute 2                                   := You bleat like a wounded animal, [%TargetEmperorTitle] [%TargetEmperorName]. 
Response Enemy Want a tribute 3                                   := What is it that you demand this month? You shall get nothing from the [%OurEmpireName].
Response Enemy Want a tribute 4                                   := We would consider such a request, if it were made by an ally. 
Response Enemy Want a tribute 5                                   := We can offer you only the business end of our boot, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Enemy Demand your surrender                    := 5
Response Enemy Demand your surrender 1                            := This does not surprise us from you. We refuse to surrender!
Response Enemy Demand your surrender 2                            := Surrender? When we are so close to victory? I think not.
Response Enemy Demand your surrender 3                            := You think much of yourself, don't you [%TargetEmperorTitle] [%TargetEmperorName]?
Response Enemy Demand your surrender 4                            := Our race will fight to the very last before ever giving in to you, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy Demand your surrender 5                            := We would rather destroy our worlds then let the [%TargetEmpireName] have them.
Number of Response Enemy YES Remove your ships from system        := 5
Response Enemy YES Remove your ships from system 1                := We will comply, for now.
Response Enemy YES Remove your ships from system 2                := Our ships do as we decide, and at this time we have decided to move them from the [%SystemName] system.
Response Enemy YES Remove your ships from system 3                := It is done, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy YES Remove your ships from system 4                := Our ships have been given new orders, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy YES Remove your ships from system 5                := The [%SystemName] system is yours. 
Number of Response Enemy NO Remove your ships from system         := 5
Response Enemy NO Remove your ships from system 1                 := We will fight to the death for the [%SystemName] system.
Response Enemy NO Remove your ships from system 2                 := You can never ask us to leave our sacred lands!
Response Enemy NO Remove your ships from system 3                 := The [%SystemName] system is ours, and always shall be.
Response Enemy NO Remove your ships from system 4                 := Think again, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy NO Remove your ships from system 5                 := You don't have the forces to make us leave the [%SystemName] system.
Number of Response Enemy YES Remove your colonies from system     := 5
Response Enemy YES Remove your colonies from system 1             := Our colonies will be removed from the [%SystemName] system.
Response Enemy YES Remove your colonies from system 2             := Our transports are on their way to the [%SystemName] system.
Response Enemy YES Remove your colonies from system 3             := The [%SystemName] system is yours. 
Response Enemy YES Remove your colonies from system 4             := It will take some time, but we shall move our populations to a more hospitable location.
Response Enemy YES Remove your colonies from system 5             := As you command, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Enemy NO Remove your colonies from system      := 5
Response Enemy NO Remove your colonies from system 1              := Our colonies will stay where they are in the [%SystemName] system.
Response Enemy NO Remove your colonies from system 2              := You will have to remove our colonies by force, [%TargetEmperorTitle] [%TargetEmperorName]. 
Response Enemy NO Remove your colonies from system 3              := Only an ally can make demands of us.
Response Enemy NO Remove your colonies from system 4              := We will fight to the end for the [%SystemName] system.
Response Enemy NO Remove your colonies from system 5              := You have no legitimate claim to the [%SystemName] system.
Number of Response Enemy YES Leave planet                         := 5
Response Enemy YES Leave planet 1                                 := We will leave the [%PlanetName] as soon as our ships are available.
Response Enemy YES Leave planet 2                                 := Our transports are on their way to [%PlanetName].
Response Enemy YES Leave planet 3                                 := As you command, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy YES Leave planet 4                                 := [%PlanetName] is worthless to us anyway. You can have it.
Response Enemy YES Leave planet 5                                 := We shall vacate [%PlanetName] in the name of peace.
Number of Response Enemy NO Leave planet                          := 5
Response Enemy NO Leave planet 1                                  := [%PlanetName] is ours and always will be.
Response Enemy NO Leave planet 2                                  := You cannot ask us to leave our home!
Response Enemy NO Leave planet 3                                  := You will have to remove our colonists by force, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy NO Leave planet 4                                  := Your pathetic demands bore us, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy NO Leave planet 5                                  := Do you expect to lay claim to the entire galaxy? You are mad, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Enemy YES Stop hostile actions against empire  := 5
Response Enemy YES Stop hostile actions against empire 1          := We will suspend our attacks on the [%OtherEmpireName].
Response Enemy YES Stop hostile actions against empire 2          := For now, there will be a time of regrouping. 
Response Enemy YES Stop hostile actions against empire 3          := The [%OtherEmpireName] don't deserve such charity, but we will hold back, for now.
Response Enemy YES Stop hostile actions against empire 4          := We will halt our advance for a time, but not for long, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy YES Stop hostile actions against empire 5          := You ask a lot [%TargetEmperorTitle] [%TargetEmperorName], but we will comply.
Number of Response Enemy NO Stop hostile actions against empire   := 5
Response Enemy NO Stop hostile actions against empire 1           := The [%OtherEmpireName] started it. Let them stop it.
Response Enemy NO Stop hostile actions against empire 2           := The [%OtherEmpireName] shall pay for their crimes. You will have to stand against us to stop us.
Response Enemy NO Stop hostile actions against empire 3           := Do not involve yourself in this matter, [%TargetEmperorTitle] [%TargetEmperorName]. Your people will only get hurt in the process.
Response Enemy NO Stop hostile actions against empire 4           := We listen only to our allies, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy NO Stop hostile actions against empire 5           := The [%OtherEmpireName] are to be exterminated, there shall be no less. 
Number of Response Enemy YES Break treaty with empire             := 5
Response Enemy YES Break treaty with empire 1                     := We will break our treaty with the [%OtherEmpireName].
Response Enemy YES Break treaty with empire 2                     := The [%OtherEmpireName] shall stand alone.
Response Enemy YES Break treaty with empire 3                     := You ask much of us [%TargetEmperorTitle] [%TargetEmperorName]. We expect a treaty for this generous act.
Response Enemy YES Break treaty with empire 4                     := The treaty between the [%OtherEmpireName] and ourselves is now over.
Response Enemy YES Break treaty with empire 5                     := As you command, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Enemy NO Break treaty with empire              := 5
Response Enemy NO Break treaty with empire 1                      := The [%OtherEmpireName] are more honorable than you. We choose to keep our treaty.
Response Enemy NO Break treaty with empire 2                      := We do not desert our allies!
Response Enemy NO Break treaty with empire 3                      := Only the forces of your arms will break this treaty.
Response Enemy NO Break treaty with empire 4                      := Your fear is showing, [%TargetEmperorTitle] [%TargetEmperorName]. The treaty stands.
Response Enemy NO Break treaty with empire 5                      := Our treaty will far outlast your puny lifespan.
Number of Response Enemy YES Declare war on empire                := 5
Response Enemy YES Declare war on empire 1                        := War with the [%OtherEmpireName] has begun...
Response Enemy YES Declare war on empire 2                        := The great war against the [%OtherEmpireName] begins this day!
Response Enemy YES Declare war on empire 3                        := We expect an alliance with your people, [%TargetEmperorTitle] [%TargetEmperorName], to support us during this war.
Response Enemy YES Declare war on empire 4                        := The accursed [%OtherEmpireName] shall pay for their crimes!
Response Enemy YES Declare war on empire 5                        := Death to the vile [%OtherEmpireName]...
Number of Response Enemy NO Declare war on empire                 := 5
Response Enemy NO Declare war on empire 1                         := Never!
Response Enemy NO Declare war on empire 2                         := Do you fancy yourself a puppeteer, [%TargetEmperorTitle] [%TargetEmperorName]?
Response Enemy NO Declare war on empire 3                         := We shall not do the bidding of your treacherous people, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy NO Declare war on empire 4                         := We grow tired of your petty conflicts, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy NO Declare war on empire 5                         := We are not prepared for a full-scale war at this time.
Number of Response Enemy YES Make peace with empire               := 5
Response Enemy YES Make peace with empire 1                       := We will make peace with the [%OtherEmpireName].
Response Enemy YES Make peace with empire 2                       := You are an excellent mediator, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy YES Make peace with empire 3                       := The time for war has ended, we will comply.
Response Enemy YES Make peace with empire 4                       := Let the great war now fade away. Let our children know peace in this age.
Response Enemy YES Make peace with empire 5                       := We will attempt to forge an alliance with the [%OtherEmpireName].
Number of Response Enemy NO Make peace with empire                := 5
Response Enemy NO Make peace with empire 1                        := We will never make peace with the [%OtherEmpireName].
Response Enemy NO Make peace with empire 2                        := The [%OtherEmpireName] are our sworn enemies. We will never make peace with their ilk.
Response Enemy NO Make peace with empire 3                        := Once again you ask for the impossible, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy NO Make peace with empire 4                        := You cannot ask this of us, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy NO Make peace with empire 5                        := The [%OtherEmpireName] have no concept of peace. They live only to make war.
Number of Response Enemy YES Support us against another empire    := 5
Response Enemy YES Support us against another empire 1            := We will help you against the [%OtherEmpireName].
Response Enemy YES Support us against another empire 2            := Our ships will aide you [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy YES Support us against another empire 3            := We can support your campaign in a limited capacity, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy YES Support us against another empire 4            := We fear that you are making a terrible decision, [%TargetEmperorTitle] [%TargetEmperorName], but we will support you.
Response Enemy YES Support us against another empire 5            := We are sending forces to our border with the [%OtherEmpireName].
Number of Response Enemy NO Support us against another empire     := 5
Response Enemy NO Support us against another empire 1             := Only an ally can ask this of us.
Response Enemy NO Support us against another empire 2             := We will not support your vicious campaign against the honorable [%OtherEmpireName].
Response Enemy NO Support us against another empire 3             := Your war is a pointless one, [%TargetEmperorTitle] [%TargetEmperorName]. We will not support you.
Response Enemy NO Support us against another empire 4             := We've been down this road before. We will not get sucked into your little war.
Response Enemy NO Support us against another empire 5             := The [%OtherEmpireName] are stronger than you. You cannot win.
Number of Response Enemy YES Attack empire in system              := 5
Response Enemy YES Attack empire in system 1                      := The [%SystemName] system was next on our list.
Response Enemy YES Attack empire in system 2                      := We shall wipe the [%OtherEmpireName] from the face of the [%SystemName] system, utterly.
Response Enemy YES Attack empire in system 3                      := We shall burn the [%SystemName] system clean of all enemies.
Response Enemy YES Attack empire in system 4                      := We will support this attack, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy YES Attack empire in system 5                      := The [%OtherEmpireName] will never know what hit them.
Number of Response Enemy NO Attack empire in system               := 5
Response Enemy NO Attack empire in system 1                       := Let the [%OtherEmpireName] have it.
Response Enemy NO Attack empire in system 2                       := Only our allies can ask this of us, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy NO Attack empire in system 3                       := The [%SystemName] system is too well defended. We will not risk such an attack.
Response Enemy NO Attack empire in system 4                       := We will not support such a reckless endeavor, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy NO Attack empire in system 5                       := The [%OtherEmpireName] are not to be betrayed in such a manner.
Number of Response Enemy YES Attack planet                        := 5
Response Enemy YES Attack planet 1                                := Our forces speed even now for [%PlanetName].
Response Enemy YES Attack planet 2                                := We will burn [%PlanetName] back to prehistoric times.
Response Enemy YES Attack planet 3                                := We will commit one fleet to this attack.
Response Enemy YES Attack planet 4                                := As you command, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy YES Attack planet 5                                := Soon, [%PlanetName] will be but a memory.
Number of Response Enemy NO Attack planet                         := 5
Response Enemy NO Attack planet 1                                 := [%PlanetName] is not under our jurisdiction.
Response Enemy NO Attack planet 2                                 := You ask too much of us, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy NO Attack planet 3                                 := We are not currently prepared for such an invasion.
Response Enemy NO Attack planet 4                                 := [%PlanetName] is of no threat to us. We will not recklessly assault it. 
Response Enemy NO Attack planet 5                                 := Find some other patsy to do your bidding, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Enemy YES Stop espionage activities            := 5
Response Enemy YES Stop espionage activities 1                    := We will cease, for now.
Response Enemy YES Stop espionage activities 2                    := We have what we need. 
Response Enemy YES Stop espionage activities 3                    := You were lucky to have discovered our operatives at all, [%TargetEmperorTitle] [%TargetEmperorName]. The remaining ones will be recalled.
Response Enemy YES Stop espionage activities 4                    := It will never happen again, we promise.
Response Enemy YES Stop espionage activities 5                    := As you wish, [%TargetEmperorTitle] [%TargetEmperorName].
Number of Response Enemy NO Stop espionage activities             := 5
Response Enemy NO Stop espionage activities 1                     := Never! We will know all of your secrets.
Response Enemy NO Stop espionage activities 2                     := Do you think us fools, [%TargetEmperorTitle] [%TargetEmperorName]? We know of your super-weapon and will have its secret ourselves!
Response Enemy NO Stop espionage activities 3                     := And what are you going to do about it, [%TargetEmperorTitle] [%TargetEmperorName]? Your military is a third-rate power.
Response Enemy NO Stop espionage activities 4                     := We do not fear you, we do not fear anyone!
Response Enemy NO Stop espionage activities 5                     := You cannot stop us, we are everywhere.
Number of Response Enemy YES Stop sabotage activities             := 5
Response Enemy YES Stop sabotage activities 1                     := Our spies are returning home even now.
Response Enemy YES Stop sabotage activities 2                     := This sabotage will be ceased.
Response Enemy YES Stop sabotage activities 3                     := As you wish, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy YES Stop sabotage activities 4                     := It was not us! Look to your allies for such treachery, [%TargetEmperorTitle] [%TargetEmperorName].
Response Enemy YES Stop sabotage activities 5                     := Your accusations are baseless. We had nothing to do with such devious acts.
Number of Response Enemy NO Stop sabotage activities              := 5
Response Enemy NO Stop sabotage activities 1                      := Never! Your empire will crumble from within.
Response Enemy NO Stop sabotage activities 2                      := Are you threatening us, [%TargetEmperorTitle] [%TargetEmperorName]?
Response Enemy NO Stop sabotage activities 3                      := We know of your imminent attack on us, [%TargetEmperorTitle] [%TargetEmperorName]. We will stop you!
